LocationNormalized,CustomerID,total_spent,transactions,city_rank
BEHIND NOORI MASJID MUMBAI,C9024511,44830.02,1,1
MANDIR DHANBAD,C3922625,44712.0,1,1
SINGTAM,C3436987,44540.1,1,1
RAIPUR C G,C4837583,44490.0,1,1
E THANE,C1242962,44370.0,1,1
SHAHBAD,C7429752,44231.0,1,1
SILIGURI,C4331016,44092.0,1,1
JIND,C4433417,44037.0,1,1
MAHALAXMI MUMBAI,C8232254,43959.01,1,1
DENTAL COLLEGE BENGALURU,C4410028,43499.0,1,1
VASAI,C4311016,43491.0,1,1
LUTON,C8834629,43357.0,1,1
SRIPERUMBUDUR,C1815615,43200.0,1,1
CHHINDWARA,C4034533,43040.3,1,1
SILVER SPRING,C1841183,42847.0,1,1
GANDHIDHAM,C4920861,42798.0,1,1
DIMAPUR,C4633166,42570.0,1,1
RANGA REDDY,C1631015,42000.0,1,1
SUPAUL,C3749475,42000.0,1,1
TRICHIRAPALLI,C3141381,42000.0,1,1
VELLORE,C6342092,41800.0,1,1
ANKLESHWAR,C7634415,41760.0,1,1
BORIVILI E MUMBAI,C7025090,41751.0,1,1
DOHA,C7939366,41600.0,1,1
NELLORE,C2029134,41500.0,1,1
TEZPUR,C8419617,41500.0,1,1
SOLIHULL,C7440079,41490.0,1,1
FIRE TEMPLE MUMBAI,C4911137,41373.0,1,1
AMBALA CANTT,C7442374,41295.0,1,1
AMBALA CANTONMENT,C2738854,41269.2,1,1
ANANTAPUR,C3433244,41070.0,1,1
ALIGARH,C6684947,41000.0,1,1
SECTOR-21A FARIDABAD,C6716584,40850.0,1,1
WEST MEDENIPUR,C3440439,40700.0,1,1
PATHANKOT,C1142533,40690.46,1,1
CHEEKA,C4117149,40662.0,1,1
CHIKMAGALUR,C2648790,40350.0,1,1
SHAHEED BHAGAT SINGH NGR NAWANSHAHR,C3741055,40256.0,3,1
DOIMUKH,C1121787,40243.0,1,1
BELGAUM,C5315126,40190.0,1,1
AZAMGARH,C4036981,40000.0,1,1
CANDOLIM,C3623976,40000.0,1,1
DHAR,C6430919,40000.0,1,1
DIST-THANE,C7216363,40000.0,1,1
GAIGHATA,C2314130,40000.0,1,1
GANDHINAGAR,C4681326,40000.0,1,1
GURDASPUR,C8818565,40000.0,1,1
PARK PHASE 01 HINJEWADI PUNE,C3517147,40000.0,1,1
POST VASNA-IYAVA TA SANAND SANAND,C8424156,40000.0,1,1
SRIKAKULAM,C6664943,40000.0,1,1
SURYAPET,C1781950,40000.0,1,1
TIRUCHENDUR,C2841277,40000.0,1,1
VILLUPURAM,C2029336,40000.0,1,1
JEDDAH,C1013788,39700.0,1,1
SHIMOGA,C1020121,39500.0,1,1
SHANKARWALI DELHI,C1529291,39356.0,1,1
SOLAN,C8529447,39262.0,1,1
PALMS HOTEL MUMBAI,C4120015,39255.0,1,1
MAROL MUMBAI,C2138791,39200.0,1,1
GOVANDI MUMBAI,C9010038,39195.1,1,1
GOA VELHA,C8820755,39126.68,1,1
LAGOS,C8516785,39106.74,1,1
DARJEELING,C7312123,38989.0,1,1
PAPUM PARE,C8841085,38970.0,1,1
PUDUCHERRY,C3326580,38799.0,1,1
MALLESHWARAM W BANGALORE,C6141020,38740.0,1,1
KHARAGPUR,C1335442,38655.5,1,1
HARDWAR,C5215220,38655.0,1,1
SIYANA,C6118975,38564.0,1,1
KUWAIT CITY,C4340822,38542.0,1,1
FATEHPUR,C7528036,38499.0,1,1
NAWANSHAR,C1771511,38415.0,1,1
KORAMANGALA 1ST BLOCK BANGALORE,C3034524,38190.72,1,1
KALYAN,C1121318,38000.0,1,1
NAVSARI,C4438151,37989.0,1,1
YES BANK  BOISAR,C3221736,37940.0,1,1
TULIJ SOPARA RD VASAI THANE,C3632213,37900.0,1,1
RAIGAD,C4940127,37789.0,1,1
MASUDI COIMBATORE,C1826351,37735.0,1,1
BHARATPUR,C1185791,37677.0,1,1
TOHANA,C4534940,37639.0,1,1
JHUNJHUNU,C7727370,37570.0,1,1
ANDHERI (W) MUMBAI,C5678326,37473.0,1,1
TEMPLE BANGALORE,C1116623,37430.45,1,1
HARIDWAR,C3828452,37300.0,1,1
JASPUR,C5026466,37101.77,1,1
CALICUT,C8828075,37000.0,1,1
KAPURTHALA,C2751686,37000.0,1,1
REWARI (HARYANA),C1438754,36950.0,1,1
SILVASSA,C8448875,36924.21,1,1
PO BOX 28483 DUBAI,C7015187,36870.0,1,1
OTTAPALAM,C3137850,36602.0,1,1
DAR ES SALAAM,C5224674,36525.0,1,1
KAITHAL,C3730328,36414.0,1,1
JOGESHWARI W MUMBAI,C1822391,36330.0,1,1
MULUND EAST,C5838716,36188.0,1,1
MORMUGAO,C6031265,36000.0,1,1
KAKINADA,C4928561,35989.0,1,1
PILANI,C3810178,35941.0,1,1
SECTORE 50 GURGAON,C7647790,35840.28,1,1
BANUR,C1026277,35812.0,1,1
ANDHERI EAST UMBAI,C7829818,35765.52,1,1
BAIE,C1881789,35700.0,1,1
NEAR HONDAI SHOW ROOM MUMBAI,C9014665,35600.0,1,1
TIRUVALLA,C7939348,35500.0,1,1
NORTH TWENTY FOUR PARGANAS,C4063834,35329.0,1,1
CARDIAC RING ROAD SURAT,C1638983,35059.0,1,1
VASHI,C5327863,35054.05,1,1
BHIWADI,C8648521,35000.0,1,1
CALANGUTE,C7532152,35000.0,1,1
JORHAT,C5341047,35000.0,1,1
MATHURA,C8128766,35000.0,1,1
SHILLLONG,C8920544,35000.0,1,1
SHAHABAD,C1016977,34989.0,1,1
PARGANAS,C1739439,34740.0,1,1
GATE PUNE,C6628976,34690.0,1,1
KANCHEEPURAM DT,C2917288,34572.0,1,1
JATNI,C1114447,34500.0,1,1
SARJAPUR MN RD BANGALORE,C1940451,34500.0,1,1
PANJIM,C3217786,34442.0,1,1
KATIHAR,C1523481,34300.0,1,1
KOPARKHAIRANE THANE,C5818329,34288.0,1,1
MALAPPURAM DT,C8631883,34270.0,1,1
KALEEN,C2270117,34062.0,1,1
KARIMNAGAR,C1630329,34000.0,1,1
MARGAO,C2814369,34000.0,1,1
THIRUVANNAMALAI (DT),C3837373,34000.0,1,1
V V NAGAR,C6532680,34000.0,1,1
M GOBINDGARH,C3324623,33673.0,1,1
ABU DHABI 303,C2321322,33654.0,1,1
MAPUSA,C2321076,33608.0,1,1
ISLAMABAD,C8336279,33500.0,1,1
PANAJI,C9098458,33500.0,1,1
ALAPPUZHA,C8565088,33400.0,1,1
KAVESAR THANE,C5527886,33097.0,1,1
PALACE SILCHAR,C1135257,33077.0,1,1
RAISEN,C5139970,33000.0,1,1
GAS AGENCY BANGALORE,C4636291,32867.12,1,1
SRIPERUMPUDUR,C5138930,32769.0,1,1
KALYAN WEST,C6586562,32700.0,1,1
SION (E) MUMBAI,C2931153,32300.0,1,1
JUNAGADH,C5140871,32200.0,1,1
FLORIDA,C2089244,32173.91,1,1
MANJALPUR VADODARA,C2664459,32049.0,1,1
UNNAO,C6413718,32020.0,1,1
BADARPUR (SOUTH DELHI) NEW DELHI,C2522454,32000.0,1,1
CYBER CITY GURGAON,C2229081,31942.52,1,1
